absoluto 	adjective	absolute, unconditional	no me gustó en absoluto	I did not like it at all
publicar 	transitive verb	to publish	no sentence available	no sentence available
quitar 	transitive verb	to remove, to take away/off/out 	quita la olla del fuego	take the pot off the heat/burner
recoger 	transitive verb	to collect, to gather	no sentence available	no sentence available
recorrer 	transitive verb	to travel through, to tour	no sentence available	no sentence available
recuperar 	transitive verb	to recover, to get back, to retrieve	recuperar el tiempo perdido	to make up for lost time
reducir 	transitive verb	to reduce, to decrease, to cut	no sentence available	no sentence available
regresar 	transitive verb	to give back	no sentence available	no sentence available
representar 	transitive verb	to represent, to act for	no sentence available	no sentence available
resolver 	transitive verb	to resolve, to settle	no sentence available	no sentence available
respetar 	transitive verb	to respect	no sentence available	no sentence available
retirar 	transitive verb	to remove, to take away, to recall	no sentence available	no sentence available
reunir 	transitive verb	to unite, to join, to bring together	reunieron los requisitos necesarios	they fulfilled the necessary requirements
romper 	transitive verb	to break (a glass, a bone, etc.)	romper el hielo/silencio	to break the ice/silence
salvar 	transitive verb	to save, to rescue	no sentence available	no sentence available
sentar 	transitive verb	to seat, to sit	no sentence available	no sentence available
separar 	transitive verb	to separate, to divide	no sentence available	no sentence available
significar 	transitive verb	to mean, to signify	no sentence available	no sentence available
sostener 	transitive verb	to support, to hold up	sostenme la puerta	hold the door for me
superar 	transitive verb	to surpass, to exceed	no sentence available	no sentence available
surgir 	intransitive verb	to rise, to arise, to emerge	no sentence available	no sentence available
tardar 	intransitive verb	to take time, to delay 	tardaron en responder	they took a while to respond
tender 	transitive verb	to spread out, to lay out	no sentence available	no sentence available
tirar 	transitive verb	to throw, to hurl, to toss 	tírame la pelota	throw/toss me the ball
transformar 	transitive verb	to convert	no sentence available	no sentence available
unir 	transitive verb	to unite, to join	no sentence available	no sentence available
vender 	transitive verb	to sell	no sentence available	no sentence available
viajar 	intransitive verb	to travel, to journey	no sentence available	no sentence available
visitar 	transitive verb	to visit	no sentence available	no sentence available
activo 	masculine noun	assets {itplural{/it 	activo y pasivo	assets and liabilities
ajeno 	adjective	alien	propiedad ajena	somebody else's property
americano 	adjective & noun	American	no sentence available	no sentence available
auténtico 	adjective	authentic	no sentence available	no sentence available
barato 	adverb	cheap, cheaply 	te lo vendo barato	I'll sell it to you cheap
bello 	adjective	beautiful	no sentence available	no sentence available
breve 	adjective	brief, short	no sentence available	no sentence available
brillante 	adjective	bright (of color, light, etc.)	no sentence available	no sentence available
central 	adjective	central	no sentence available	no sentence available
chino 	adjective	Chinese	no sentence available	no sentence available
ciego 	adjective	blind	no sentence available	no sentence available
clásico 	adjective	classic	no sentence available	no sentence available
comercial 	adjective & masculine noun	commercial	no sentence available	no sentence available
complejo 	adjective	complex	no sentence available	no sentence available
complicado 	adjective	complicated	no sentence available	no sentence available
consciente 	adjective	conscious, aware	no sentence available	no sentence available
constante 	adjective	constant	no sentence available	no sentence available
correcto 	adjective	correct, right	no sentence available	no sentence available
correspondiente 	adjective	corresponding, respective	no sentence available	no sentence available
cotidiano 	adjective	daily, everyday 	la vida cotidiana	daily life
cristiano 	adjective & noun	Christian	no sentence available	no sentence available
cultural 	adjective	cultural	no sentence available	no sentence available
curioso 	adjective	curious, inquisitive	no sentence available	no sentence available
débil 	adjective	weak, feeble	no sentence available	no sentence available
delicado 	adjective	delicate, fine	no sentence available	no sentence available
desconocido 	adjective	unknown, unfamiliar	no sentence available	no sentence available
doble 	adjective	double 	doble el número de	double the number of
eléctrico 	adjective	electric, electrical	no sentence available	no sentence available
encargado 	adjective	in charge	no sentence available	no sentence available
escaso 	adjective	scarce, scant	no sentence available	no sentence available
europeo 	adjective & noun	European	no sentence available	no sentence available
evidente 	adjective	evident, obvious, clear	no sentence available	no sentence available
excelente 	adjective	excellent	no sentence available	no sentence available
exterior 	adjective	exterior, external	asuntos exteriores	foreign affairs
extranjero 	masculine noun	foreign countries {itplural{/it 	viajó al extranjero	he traveled abroad
extremo 	adjective	extreme, great 	frío extremo	extreme cold
falso 	adjective	false, untrue	no sentence available	no sentence available
femenino 	adjective	feminine	derechos femeninos	women's rights
fijo 	adjective	fixed, firm, steady	no sentence available	no sentence available
fino 	adjective	fine, excellent	olfato fino	keen sense of smell
fuerte 	adjective	strong 	brazos fuertes	strong arms
fundamental 	adjective	fundamental, basic	no sentence available	no sentence available
griego 	adjective & noun	Greek	no sentence available	no sentence available
habitual 	adjective	habitual, customary	no sentence available	no sentence available
hermoso 	adjective	beautiful, lovely	no sentence available	no sentence available
independiente 	adjective	independent	no sentence available	no sentence available
individual 	adjective	individual	no sentence available	no sentence available
infantil 	adjective	childish, infantile	no sentence available	no sentence available
inferior 	adjective	inferior, lower	no sentence available	no sentence available
inmenso 	adjective	immense, huge, vast	no sentence available	no sentence available
intelectual 	adjective & masculine or feminine noun	intellectual	no sentence available	no sentence available
inteligente 	adjective	intelligent	no sentence available	no sentence available
intenso 	adjective	intense	no sentence available	no sentence available
internacional 	adjective	international	no sentence available	no sentence available
lejano 	adjective	remote, distant, far away	no sentence available	no sentence available
lento 	adverb	slowly	no sentence available	no sentence available
limpio 	adjective	clean, neat	un juego limpio	a fair game
listo 	adjective	ready 	¿estás listo?	are you ready?
literario 	adjective	literary	no sentence available	no sentence available
loco 	adjective	crazy, insane, mad	no sentence available	no sentence available
lógico 	adjective	logical	no sentence available	no sentence available
máximo 	adjective	maximum, greatest, highest	no sentence available	no sentence available
moral 	adjective	moral	no sentence available	no sentence available
nervioso 	adjective	nervous, nerve 	sistema nervioso	nervous system
norteamericano 	adjective & noun	North American	no sentence available	no sentence available
notable 	adjective	notable, noteworthy	no sentence available	no sentence available
numeroso 	adjective	numerous	no sentence available	no sentence available
objetivo 	adjective	objective	no sentence available	no sentence available
obligado 	adjective	obliged	no sentence available	no sentence available
oficial 	adjective	official	no sentence available	no sentence available
original 	adjective & masculine noun	original	no sentence available	no sentence available
